metric,category,count,percentage
sentiment_flow,negative_to_neutral_or_positive,1,5.0
sentiment_flow,neutral_or_positive_to_negative,0,0.0
risk_phrases,calls_with_risk_phrases,3,15.0
global,avg_complexity_score,20,2.21
sentiment,neutral,7,35.0
sentiment,negative,7,35.0
sentiment,positive,5,25.0
sentiment,,1,5.0
call_type,inquiry,9,45.0
call_type,support,4,20.0
call_type,complaint,3,15.0
call_type,other,3,15.0
call_type,,1,5.0
priority,low,13,65.0
priority,medium,4,20.0
priority,high,3,15.0
sentiment_x_call_type,negative__complaint,3,15.0
sentiment_x_call_type,negative__inquiry,1,5.0
sentiment_x_call_type,negative__other,0,0.0
sentiment_x_call_type,negative__support,3,15.0
sentiment_x_call_type,neutral__complaint,0,0.0
sentiment_x_call_type,neutral__inquiry,6,30.0
sentiment_x_call_type,neutral__other,0,0.0
sentiment_x_call_type,neutral__support,1,5.0
sentiment_x_call_type,positive__complaint,0,0.0
sentiment_x_call_type,positive__inquiry,2,10.0
sentiment_x_call_type,positive__other,3,15.0
sentiment_x_call_type,positive__support,0,0.0
